date,medal_code,medal,code,name,gender,country_code,country,discipline,discipline_code,event_name
2026-02-07,1,GOLD,48729,von ALLMEN Franjo,M,SUI,Switzerland,Alpine Skiing,ALP,Men's Downhill
2026-02-07,2,SILVER,25998,FRANZONI Giovanni,M,ITA,Italy,Alpine Skiing,ALP,Men's Downhill
2026-02-07,3,BRONZE,26002,PARIS Dominik,M,ITA,Italy,Alpine Skiing,ALP,Men's Downhill
2026-02-07,1,GOLD,30739,KARLSSON Frida,F,SWE,Sweden,Cross-Country Skiing,CCS,Women's 10km + 10km Skiathlon
2026-02-07,2,SILVER,30707,ANDERSSON Ebba,F,SWE,Sweden,Cross-Country Skiing,CCS,Women's 10km + 10km Skiathlon
2026-02-07,3,BRONZE,42290,WENG Heidi,F,NOR,Norway,Cross-Country Skiing,CCS,Women's 10km + 10km Skiathlon
2026-02-07,1,GOLD,42353,STROEM Anna Odine,F,NOR,Norway,Ski Jumping,SJP,Women's NH Individual
2026-02-07,2,SILVER,35642,PREVC Nika,F,SLO,Slovenia,Ski Jumping,SJP,Women's NH Individual
2026-02-07,3,BRONZE,42754,MARUYAMA Nozomi,F,JPN,Japan,Ski Jumping,SJP,Women's NH Individual
2026-02-07,1,GOLD,42823,KIMURA Kira,M,JPN,Japan,Snowboard,SBD,Men's Snowboard Big Air
2026-02-07,2,SILVER,42838,KIMATA Ryoma,M,JPN,Japan,Snowboard,SBD,Men's Snowboard Big Air
2026-02-07,3,BRONZE,47418,SU Yiming,M,CHN,China,Snowboard,SBD,Men's Snowboard Big Air
2026-02-07,1,GOLD,22165,LOLLOBRIGIDA Francesca,F,ITA,Italy,Speed Skating,SSK,Women's 3000m
2026-02-07,2,SILVER,42383,WIKLUND Ragne,F,NOR,Norway,Speed Skating,SSK,Women's 3000m
2026-02-07,3,BRONZE,44030,MALTAIS Valerie,F,CAN,Canada,Speed Skating,SSK,Women's 3000m
2026-02-08,1,GOLD,25476,JOHNSON Breezy,F,USA,United States,Alpine Skiing,ALP,Women's Downhill
2026-02-08,2,SILVER,41302,AICHER Emma,F,GER,Germany,Alpine Skiing,ALP,Women's Downhill
2026-02-08,3,BRONZE,6472,GOGGIA Sofia,F,ITA,Italy,Alpine Skiing,ALP,Women's Downhill
2026-02-08,1,GOLD,44685,JEANMONNOT Lou,F,FRA,France,Biathlon,BTH,Mixed Relay 4 x 6km (M+W)
2026-02-08,1,GOLD,46398,FILLON MAILLET Quentin,M,FRA,France,Biathlon,BTH,Mixed Relay 4 x 6km (M+W)
2026-02-08,1,GOLD,44694,SIMON Julia,F,FRA,France,Biathlon,BTH,Mixed Relay 4 x 6km (M+W)
2026-02-08,1,GOLD,44692,PERROT Eric,M,FRA,France,Biathlon,BTH,Mixed Relay 4 x 6km (M+W)
2026-02-08,2,SILVER,22484,VITTOZZI Lisa,F,ITA,Italy,Biathlon,BTH,Mixed Relay 4 x 6km (M+W)
